ST_CASE,AGE,SEX,REST_USE,INJ_SEV,DRINKING,DRUGS,PER_TYP
10199,4,2,10,3,8,8,2
10199,0,1,11,2,8,8,2
10199,1,1,10,2,8,8,2
10200,49,2,3,3,0,0,1
10200,49,1,7,3,9,9,1
10200,72,2,7,4,8,8,2
10200,49,2,7,3,8,8,2
10201,25,1,7,4,8,8,1
10202,48,1,7,4,9,9,1
10202,27,1,3,2,0,0,1
10203,20,1,3,4,1,9,1
10203,37,1,3,0,0,0,1
10204,27,1,3,4,8,8,1
10204,19,1,3,3,8,8,2
10204,15,1,3,3,8,8,2
10205,27,1,7,3,1,1,1
10205,998,1,7,4,8,8,2
10206,40,1,3,0,0,0,1
10206,10,1,3,0,8,8,2
10207,19,1,7,4,9,9,1
10207,50,2,3,1,0,0,1
10208,18,1,3,0,0,0,1
10209,18,1,3,0,0,1,1
10209,47,2,3,4,0,0,1
10210,68,1,3,4,9,9,1
10211,72,1,3,2,0,0,1
10211,37,2,3,4,0,0,1
10212,59,1,99,4,9,8,1
10213,31,1,7,4,9,9,1
10213,53,1,3,4,9,9,1
10213,51,2,3,3,8,8,2
10214,17,1,3,1,0,0,1
10214,17,2,3,1,8,8,2
10214,25,1,5,4,0,0,1
10215,22,1,5,4,0,0,1
10216,23,2,3,1,0,0,1
10216,20,1,7,1,8,8,2
10216,3,1,2,4,8,8,2
10216,3,2,7,1,8,8,2
10216,1,1,7,1,8,8,2
10217,21,2,99,4,1,1,1
10218,88,1,3,2,0,0,1
10218,87,2,3,4,8,8,2
10218,51,1,2,3,0,0,1
10219,30,2,3,4,0,0,1
10219,4,1,7,4,8,8,2
10219,30,2,3,3,0,0,1
10219,12,2,3,3,8,8,2
10219,1,1,10,3,8,8,2
10219,10,1,3,3,8,8,2
10220,17,1,7,4,0,0,1
10221,41,1,3,4,9,9,1
10221,5,2,3,3,8,8,2
10222,15,1,7,4,0,9,1
10222,17,2,7,4,8,8,2
10222,46,1,3,0,0,0,1
10223,23,1,3,0,1,9,1
10223,19,1,3,0,8,8,2
10223,61,2,3,2,0,0,1
10223,57,2,3,2,8,8,2
10223,56,2,3,4,8,8,2
10223,35,2,3,3,8,8,2
10223,56,2,3,0,8,8,2
10224,69,2,3,1,0,9,1
10225,50,2,3,4,1,0,1
10225,26,1,3,0,0,0,1
10226,51,1,3,4,0,0,1
10226,78,1,3,3,8,8,2
10227,46,1,7,4,9,9,1
10228,41,1,7,4,0,1,1
10229,36,1,3,3,9,9,1
10229,30,2,3,4,0,0,1
10229,6,1,12,3,8,8,2
10230,24,1,99,9,9,9,1
10230,26,1,99,4,8,8,2
10231,63,1,3,0,0,0,1
10231,44,1,7,4,8,8,2
10232,17,1,3,2,0,0,1
10232,17,1,3,3,8,8,2
10232,15,1,7,2,8,8,2
10232,15,1,7,4,8,8,2
10233,33,1,7,4,0,1,1
10234,63,1,3,0,0,9,1
10234,27,2,7,0,8,8,3
10235,41,1,99,4,9,9,1
10236,35,1,7,4,8,8,1
10237,18,1,3,0,1,9,1
10237,18,1,7,4,8,8,2
10238,38,1,3,3,1,1,1
10238,31,2,3,4,8,8,2
10239,32,2,3,2,0,1,1
10239,13,2,3,3,8,8,2
10239,12,2,3,3,8,8,2
10239,3,1,10,2,8,8,2
10239,10,2,7,2,8,8,2
10239,1,1,10,2,8,8,2
10239,14,1,0,2,8,8,2
10239,14,1,0,2,8,8,2
10239,4,2,0,4,8,8,2
10240,62,2,7,4,0,0,1
10241,83,1,3,4,0,0,1
10241,80,2,3,3,8,8,2
10241,78,1,3,3,0,0,1
10242,29,1,7,4,1,9,1
10243,50,1,5,4,0,0,1
10243,56,2,5,2,8,8,2
10244,18,1,3,2,0,0,1
10244,62,1,3,4,9,9,1
10245,51,1,3,4,1,0,1
10246,52,1,7,4,9,9,1
10247,999,9,99,0,9,9,1
10248,66,2,7,4,0,0,1
10249,36,1,7,4,9,9,1
10250,42,1,3,2,9,9,1
10250,60,1,3,4,9,9,1
10250,27,1,3,2,8,8,2
10251,16,1,7,1,9,9,1
10251,15,1,7,3,8,8,2
10251,16,1,3,1,8,8,2
10251,36,1,7,3,9,9,1
10251,30,2,7,4,8,8,2
10251,6,1,3,3,8,8,2
10251,9,1,3,3,8,8,2
10252,40,1,5,4,9,9,1
10252,24,2,3,1,0,0,1
10253,47,1,7,4,9,9,1
10253,66,1,3,0,0,0,1
10254,30,2,3,4,9,9,1
10255,30,1,7,4,1,9,1
10256,999,9,99,0,9,9,1
10257,45,1,3,4,0,0,1
10258,51,1,5,4,9,9,1
10258,38,1,3,2,0,0,1
10259,45,1,5,4,9,9,1
10259,49,1,3,0,0,0,1
10260,32,1,5,4,0,0,1
10261,62,1,17,4,1,0,1
10262,51,1,17,4,1,0,1
10263,17,2,3,3,0,0,1
10263,72,1,7,4,0,0,1
10263,47,1,7,2,8,8,2
10263,48,1,7,2,8,8,2
10264,41,1,3,0,0,0,1
10265,24,1,7,1,9,9,1
10265,22,1,7,2,8,8,2
10265,23,2,7,4,8,8,2
10265,16,1,3,0,0,0,1
10266,17,2,3,4,0,0,1
10266,51,1,3,0,0,0,1
10267,26,1,99,0,9,9,1
10267,74,2,3,4,0,0,1
10268,21,1,7,0,9,9,1
10269,41,2,3,3,0,0,1
10269,55,1,0,4,0,0,1
10269,18,2,3,0,0,0,1
10269,18,2,3,0,8,8,2
10270,19,1,99,9,1,9,1
10270,19,2,3,4,9,9,1
10270,35,1,3,2,0,0,1
10271,55,2,99,3,0,0,1
10271,66,1,99,2,0,0,1
10271,65,2,99,4,8,8,2
10272,34,1,7,0,1,9,1
10272,24,1,99,3,8,8,2
10272,40,1,7,4,0,0,1
10273,58,1,7,4,0,0,1
10274,47,1,7,4,0,0,1
10275,20,1,3,3,1,0,1
10275,21,1,7,4,8,8,2
10275,15,1,7,3,8,8,2
10276,35,1,7,4,0,0,1
10277,72,2,3,3,0,0,1
10277,76,1,99,2,8,8,2
10277,78,2,7,4,8,8,2
10277,41,1,7,2,0,0,1
10278,20,1,3,2,9,1,1
10278,19,1,99,4,8,8,2
10278,32,2,3,2,0,0,3
10279,36,2,7,4,0,0,1
10279,65,1,3,0,0,0,1
10280,45,1,7,4,0,0,1
10280,27,1,3,0,0,0,1
10280,27,2,3,0,8,8,2
10280,1,1,10,0,8,8,2
10281,36,1,7,3,0,1,1
10281,41,2,7,4,8,8,2
10281,9,2,3,2,8,8,2
10282,38,1,5,0,9,9,1
10283,20,1,99,0,1,1,1
10284,30,2,7,4,0,9,1
10284,18,1,3,2,0,0,1
10284,17,1,3,2,8,8,2
10284,18,1,3,2,8,8,2
10284,18,1,3,2,8,8,2
10285,63,1,3,0,0,0,1
10285,55,1,3,0,0,0,1
10285,65,1,3,4,0,0,1
10285,67,2,3,3,8,8,2
10286,55,1,3,3,9,9,1
10286,51,2,3,3,8,8,2
10286,44,1,3,0,0,0,1
10286,52,2,3,0,0,0,1
10286,53,1,2,4,8,8,1
10286,32,1,3,3,8,8,1
10286,21,1,3,2,8,8,2
10287,21,1,7,4,9,9,1
10287,45,1,7,3,0,0,1
10288,22,1,7,4,9,9,1
10288,14,1,7,3,8,8,2
10288,22,1,7,3,8,8,2
10288,18,1,7,3,8,8,2
10289,51,1,7,4,9,9,1
10290,68,2,3,4,0,0,1
10290,34,1,99,4,0,0,1
